idx,cxn,cxntype,pairid,word1,word2,w1XprobY,w1XtopY,w1XtopYprob,w1X2ndY,w1X3rdY,w1X4thY,w1X5thY,w2XprobY,w2XtopY,w2XtopYprob,w2X2ndY,w2X3rdY,w2X4thY,w2X5thY,w1/nospace,w2/nospace,w1/caps,w2/caps,,nospace:,w1XprobY,w1XtopY,w1XtopYprob,w2XprobY,w2XtopY,w2XtopYprob,caps:,w1XprobY,w1XtopY,w1XtopYprob,w2XprobY,w2XtopY,w2XtopYprob,,nospace/full:,w1XprobY,w1XtopY,w1XtopYprob,w1X2ndY,w1X3rdY,w1X4thY,w1X5thY,w2XprobY,w2XtopY,w2XtopYprob,w2X2ndY,w2X3rdY,w2X4thY,w2X5thY,,caps/full:,w1XprobY,w1XtopY,w1XtopYprob,w1X2ndY,w1X3rdY,w1X4thY,w1X5thY,w2XprobY,w2XtopY,w2XtopYprob,w2X2ndY,w2X3rdY,w2X4thY,w2X5thY,,space/full:,w1XprobY,w1XtopY,w1XtopYprob,w1X2ndY,w1X3rdY,w1X4thY,w1X5thY,w2XprobY,w2XtopY,w2XtopYprob,w2X2ndY,w2X3rdY,w2X4thY,w2X5thY
88,alike,j-coordinated,94,succeed,fail,0.9475,fail,0.9475,fall,failure,failed,struggle,0.3033,succeed,0.3033,fall,failure,failed,struggle,1,1,1,0,,,0.9331,fail,0.9331,0.3293,succeed,0.3293,,0.9279,fail,0.9279,0.1618,fail,0.3002,,,0.9331,fail,0.9331,struggle,fall,suffer,lose,0.3293,succeed,0.3293,struggle,fall,suffer,lose,,,0.9279,fail,0.9279,fall,die,suffer,struggle,0.1618,fail,0.3002,fall,die,suffer,struggle,,,0.0001,women,0.1191,old,girls,children,men,0,women,0.1088,old,girls,children,men
89,alike,j-coordinated,95,success,failure,0.8781,failure,0.8781,failures,tragedy,struggle,disaster,0.7253,success,0.7253,failures,tragedy,struggle,disaster,1,1,1,1,,,0.9081,failure,0.9081,0.5965,success,0.5965,,0.8739,failure,0.8739,0.6831,success,0.6831,,,0.9081,failure,0.9081,failures,fail,tragedy,struggle,0.5965,success,0.5965,failures,fail,tragedy,struggle,,,0.8739,failure,0.8739,failures,fail,tragedy,struggle,0.6831,success,0.6831,failures,fail,tragedy,struggle,,,0.0001,women,0.0867,old,foe,children,girls,0,women,0.0711,old,foe,children,girls
90,alike,j-coordinated,96,sudden,gradual,0.0447,planned,0.0519,predictable,gradual,inevitable,expected,0.1607,sudden,0.1607,predictable,gradual,inevitable,expected,1,0,1,0,,,0.0562,inevitable,0.0661,0,professional,0.2952,,0.034,inevitable,0.1119,0.0224,rapid,0.0612,,,0.0562,inevitable,0.0661,gradual,predictable,unexpected,slow,0,professional,0.2952,gradual,predictable,unexpected,slow,,,0.034,inevitable,0.1119,predictable,expected,unexpected,gradual,0.0224,rapid,0.0612,predictable,expected,unexpected,gradual,,,0,women,0.0991,old,foe,children,girls,0,women,0.0942,old,foe,children,girls
91,alike,j-coordinated,97,sufficient,other,0.0011,insufficient,0.3604,inadequate,sufficient,excess,adequate,0,others,0.0276,inadequate,sufficient,excess,adequate,1,1,1,1,,,0.0165,others,0.0385,0,self,0.0785,,0.0004,insufficient,0.3031,0,religious,0.0338,,,0.0165,others,0.0385,women,poor,free,other,0,self,0.0785,women,poor,free,other,,,0.0004,insufficient,0.3031,sufficient,inadequate,adequate,necessary,0,religious,0.0338,sufficient,inadequate,adequate,necessary,,,0.0016,women,0.1408,men,children,old,foe,0,women,0.0813,men,children,old,foe
92,alike,j-coordinated,98,temporary,permanent,0.8484,permanent,0.8484,enduring,eternal,perennial,lasting,0.8488,temporary,0.8488,enduring,eternal,perennial,lasting,1,1,1,1,,,0.8263,permanent,0.8263,0.5116,temporary,0.5116,,0.8891,permanent,0.8891,0.8151,temporary,0.8151,,,0.8263,permanent,0.8263,enduring,perennial,forever,eternal,0.5116,temporary,0.5116,enduring,perennial,forever,eternal,,,0.8891,permanent,0.8891,Permanent,forever,enduring,perennial,0.8151,temporary,0.8151,Permanent,forever,enduring,perennial,,,0,women,0.1015,old,foe,children,girls,0,women,0.1067,old,foe,children,girls
93,alike,j-coordinated,99,thick,thin,0.8742,thin,0.8742,light,skinny,slim,slender,0.0852,fat,0.3598,light,skinny,slim,slender,1,0,1,1,,,0.7806,thin,0.7806,0.1232,thick,0.1232,,0.8468,thin,0.8468,0.0301,strong,0.0655,,,0.7806,thin,0.7806,skinny,light,slender,slim,0.1232,thick,0.1232,skinny,light,slender,slim,,,0.8468,thin,0.8468,skinny,light,slim,short,0.0301,strong,0.0655,skinny,light,slim,short,,,0.0002,women,0.1938,men,girls,children,boys,0,women,0.1285,men,girls,children,boys
94,alike,j-coordinated,100,tiny,enormous,0.0175,large,0.1467,big,mighty,giant,huge,0.0693,small,0.2306,big,mighty,giant,huge,1,1,1,1,,,0.0088,mighty,0.135,0.053,small,0.1958,,0.0018,mighty,0.2228,0.0327,small,0.1977,,,0.0088,mighty,0.135,large,big,small,huge,0.053,small,0.1958,large,big,small,huge,,,0.0018,mighty,0.2228,big,strong,large,all,0.0327,small,0.1977,big,strong,large,all,,,0,women,0.099,old,foe,children,girls,0,women,0.0919,old,foe,children,girls
95,alike,j-coordinated,101,tiny,huge,0.0396,large,0.1467,big,mighty,giant,huge,0.0675,small,0.3961,big,mighty,giant,huge,1,1,1,1,,,0.0242,mighty,0.135,0.0229,small,0.49,,0.0076,mighty,0.2228,0.0275,small,0.1874,,,0.0242,mighty,0.135,large,big,small,huge,0.0229,small,0.49,large,big,small,huge,,,0.0076,mighty,0.2228,big,strong,large,all,0.0275,small,0.1874,big,strong,large,all,,,0,women,0.099,old,foe,children,girls,0,women,0.0793,old,foe,children,girls
96,alike,j-coordinated,102,total,current,0.0015,percentage,0.0671,percentages,not,relative,fractions,0,former,0.312,percentages,not,relative,fractions,1,1,1,1,,,0.0003,not,0.142,0,past,0.3883,,0.0002,not,0.135,0,past,0.1965,,,0.0003,not,0.142,percentage,very,less,the,0,past,0.3883,percentage,very,less,the,,,0.0002,not,0.135,percentage,very,less,almost,0,past,0.1965,percentage,very,less,almost,,,0,women,0.1247,old,men,children,girls,0,women,0.0636,old,men,children,girls
97,alike,j-coordinated,103,vague,clear,0.0284,specific,0.1172,precise,vague,clear,ambiguous,0.0061,concise,0.0249,precise,vague,clear,ambiguous,1,1,1,1,,,0.0068,vague,0.0282,0.0018,the,0.0589,,0.0122,vague,0.0273,0.0007,the,0.0602,,,0.0068,vague,0.0282,ambiguous,confusing,detailed,cryptic,0.0018,the,0.0589,ambiguous,confusing,detailed,cryptic,,,0.0122,vague,0.0273,explicit,detailed,clear,transparent,0.0007,the,0.0602,explicit,detailed,clear,transparent,,,0.0001,women,0.1294,old,girls,children,foe,0,women,0.1453,old,girls,children,foe
98,alike,j-coordinated,104,war,peace,0.8049,peace,0.8049,love,politics,famine,revolution,0.8945,war,0.8945,love,politics,famine,revolution,1,1,1,1,,,0.8246,peace,0.8246,0.7045,war,0.7045,,0.7556,peace,0.7556,0.6654,war,0.6654,,,0.8246,peace,0.8246,love,politics,religion,war,0.7045,war,0.7045,love,politics,religion,war,,,0.7556,peace,0.7556,love,religion,Peace,politics,0.6654,war,0.6654,love,religion,Peace,politics,,,0.0001,women,0.0766,foe,old,men,children,0,women,0.0782,foe,old,men,children
99,alike,j-coordinated,105,wealthy,poor,0.9271,poor,0.9271,impoverished,needy,poorer,homeless,0.0501,rich,0.9107,impoverished,needy,poorer,homeless,1,1,1,1,,,0.9678,poor,0.9678,0.0265,rich,0.9424,,0.8955,poor,0.8955,0.0331,rich,0.9361,,,0.9678,poor,0.9678,needy,impoverished,poorer,homeless,0.0265,rich,0.9424,needy,impoverished,poorer,homeless,,,0.8955,poor,0.8955,needy,impoverished,hungry,poorer,0.0331,rich,0.9361,needy,impoverished,hungry,poorer,,,0.0063,women,0.0872,old,foe,children,girls,0.0002,women,0.1036,old,foe,children,girls
100,alike,j-coordinated,106,well,badly,0.0059,ill,0.1475,poor,weak,not,good,0.1616,well,0.1616,poor,weak,not,good,1,0,1,0,,,0.001,poor,0.2034,0.0225,wonderfully,0.1277,,0.0001,good,0.0979,0.0502,wonderfully,0.0998,,,0.001,poor,0.2034,thirsty,ill,good,weak,0.0225,wonderfully,0.1277,thirsty,ill,good,weak,,,0.0001,good,0.0979,more,truly,all,worse,0.0502,wonderfully,0.0998,more,truly,all,worse,,,0,women,0.0935,old,foe,children,girls,0.0003,women,0.0833,old,foe,children,girls
101,alike,j-coordinated,107,well,sick,0.0248,ill,0.1475,poor,weak,not,good,0.0796,healthy,0.6856,poor,weak,not,good,1,1,1,1,,,0.0171,poor,0.2034,0.0656,healthy,0.3155,,0.0025,good,0.0979,0.1117,healthy,0.2747,,,0.0171,poor,0.2034,thirsty,ill,good,weak,0.0656,healthy,0.3155,thirsty,ill,good,weak,,,0.0025,good,0.0979,more,truly,all,worse,0.1117,healthy,0.2747,more,truly,all,worse,,,0.0002,women,0.0935,old,foe,children,girls,0.0003,women,0.0934,old,foe,children,girls
102,alike,j-coordinated,108,wet,dry,0.8656,dry,0.8656,cold,wet,dirty,dried,0.4018,wet,0.4018,cold,wet,dirty,dried,1,1,1,1,,,0.8478,dry,0.8478,0.6724,wet,0.6724,,0.837,dry,0.837,0.5425,wet,0.5425,,,0.8478,dry,0.8478,cold,dried,cool,icy,0.6724,wet,0.6724,cold,dried,cool,icy,,,0.837,dry,0.837,cold,dirty,clean,dried,0.5425,wet,0.5425,cold,dirty,clean,dried,,,0.0001,women,0.1205,old,foe,children,girls,0,women,0.0869,old,foe,children,girls
103,alike,j-coordinated,109,whole,fresh,0,part,0.4135,partial,parts,whole,incomplete,0,old,0.2763,partial,parts,whole,incomplete,1,1,1,1,,,0.0002,part,0.1074,0,old,0.2903,,0.0004,broken,0.0794,0,seasoned,0.2642,,,0.0002,part,0.1074,partial,parts,broken,imperfect,0,old,0.2903,partial,parts,broken,imperfect,,,0.0004,broken,0.0794,part,flawed,damned,partial,0,seasoned,0.2642,part,flawed,damned,partial,,,0.0001,women,0.081,old,foe,children,girls,0,women,0.0965,old,foe,children,girls
104,alike,j-coordinated,110,win,lose,0.7244,lose,0.7244,loss,defeat,draw,tie,0.5276,win,0.5276,loss,defeat,draw,tie,1,1,1,1,,,0.7423,lose,0.7423,0.5308,win,0.5308,,0.8756,lose,0.8756,0.5613,win,0.5613,,,0.7423,lose,0.7423,loss,fail,win,losers,0.5308,win,0.5308,loss,fail,win,losers,,,0.8756,lose,0.8756,play,fail,Lose,loss,0.5613,win,0.5613,play,fail,Lose,loss,,,0.0001,women,0.1029,old,children,girls,foe,0.0001,women,0.0918,old,children,girls,foe
105,alike,j-coordinated,111,young,old,0.9925,old,0.9925,elderly,older,ancient,aged,0.7964,young,0.7964,elderly,older,ancient,aged,1,1,1,1,,,0.9933,old,0.9933,0.7133,young,0.7133,,0.9926,old,0.9926,0.8897,young,0.8897,,,0.9933,old,0.9933,elderly,older,mature,veteran,0.7133,young,0.7133,elderly,older,mature,veteran,,,0.9926,old,0.9926,older,elderly,mature,ancient,0.8897,young,0.8897,older,elderly,mature,ancient,,,0.0485,women,0.1194,old,children,foe,girls,0.0086,women,0.1294,old,children,foe,girls
106,alike,j-coordinated,112,TRUE,FALSE,0.8344,FALSE,0.8344,FALSE,FALSE,fiction,fake,0.7388,TRUE,0.7388,FALSE,FALSE,fiction,fake,1,0,1,1,,,0.2171,FALSE,0.2171,0.0152,FALSE,0.659,,0,FALSE,0.7513,0.0001,TRUE,0.2112,,,0.2171,FALSE,0.2171,FALSE,not,fiction,lie,0.0152,FALSE,0.659,FALSE,not,fiction,lie,,,0,FALSE,0.7513,fake,FALSE,not,fiction,0.0001,TRUE,0.2112,fake,FALSE,not,fiction,,,0,women,0.104,old,foe,children,girls,0,women,0.0919,old,foe,children,girls
107,alike,j-coordinated,113,busy,idle,0.0273,lazy,0.0655,idle,busy,lonely,tired,0.2213,busy,0.2213,idle,busy,lonely,tired,1,1,1,0,,,0.0176,busy,0.0994,0.0714,busy,0.0714,,0.0033,happy,0.0797,0.0413,productive,0.0434,,,0.0176,busy,0.0994,happy,lazy,lonely,tired,0.0714,busy,0.0714,happy,lazy,lonely,tired,,,0.0033,happy,0.0797,busy,tired,lazy,lonely,0.0413,productive,0.0434,busy,tired,lazy,lonely,,,0,women,0.0847,old,foe,children,girls,0,women,0.114,old,foe,children,girls
108,alike,j-coordinated,114,unwelcome,welcome,0.3994,welcome,0.3994,welcomed,expected,wanted,appreciated,0.0064,fear,0.0571,welcomed,expected,wanted,appreciated,1,1,1,1,,,0.0897,welcome,0.0897,0.0328,unwanted,0.0854,,0.2169,welcome,0.2169,0.0593,welcome,0.1526,,,0.0897,welcome,0.0897,unwelcome,welcomed,unwanted,ignored,0.0328,unwanted,0.0854,unwelcome,welcomed,unwanted,ignored,,,0.2169,welcome,0.2169,welcomed,unwelcome,wanted,expected,0.0593,welcome,0.1526,welcomed,unwelcome,wanted,expected,,,0.0001,women,0.0803,old,foe,children,girls,0,women,0.0788,old,foe,children,girls
109,alike,j-coordinated,115,lawful,unlawful,0.2571,illegal,0.3809,unlawful,illegitimate,criminal,not,0.5425,lawful,0.5425,unlawful,illegitimate,criminal,not,1,1,1,1,,,0.1255,criminal,0.1859,0.0874,lawful,0.0874,,0.1695,criminal,0.2123,0.119,lawful,0.119,,,0.1255,criminal,0.1859,unlawful,illegal,not,criminals,0.0874,lawful,0.0874,unlawful,illegal,not,criminals,,,0.1695,criminal,0.2123,unlawful,illegal,not,criminals,0.119,lawful,0.119,unlawful,illegal,not,criminals,,,0,women,0.0918,old,foe,children,girls,0,women,0.1045,old,foe,children,girls
110,alike,j-coordinated,116,irreversible,reversible,0.0969,temporary,0.1075,reversible,unpredictable,irreversible,contingent,0.1054,irreversible,0.1054,reversible,unpredictable,irreversible,contingent,1,0,1,0,,,0.0548,irreversible,0.2273,0.022,durable,0.0668,,0.0249,irreversible,0.112,0.0004,durable,0.2378,,,0.0548,irreversible,0.2273,reversible,permanent,not,unpredictable,0.022,durable,0.0668,reversible,permanent,not,unpredictable,,,0.0249,irreversible,0.112,durable,permanent,reversible,reusable,0.0004,durable,0.2378,durable,permanent,reversible,reusable,,,0,women,0.0869,old,foe,children,girls,0,women,0.0844,old,foe,children,girls
111,alike,j-coordinated,117,noisy,quiet,0.096,quiet,0.096,silent,peaceful,beautiful,friendly,0.1326,loud,0.3792,silent,peaceful,beautiful,friendly,0,1,0,1,,,0.0068,friendly,0.0359,0.178,loud,0.2158,,0.0038,friendly,0.0511,0.1161,loud,0.1982,,,0.0068,friendly,0.0359,dangerous,beautiful,annoying,not,0.178,loud,0.2158,dangerous,beautiful,annoying,not,,,0.0038,friendly,0.0511,all,dangerous,beautiful,not,0.1161,loud,0.1982,all,dangerous,beautiful,not,,,0.0001,women,0.0978,old,foe,children,girls,0,women,0.1072,old,foe,children,girls
112,alike,j-coordinated,119,integrated,segregated,0.0016,independent,0.0824,separate,isolated,fragmented,separated,0.2204,integrated,0.2204,separate,isolated,fragmented,separated,1,1,1,0,,,0.0005,managed,0.0217,0.094,integrated,0.094,,0.0014,broken,0.0669,0.0869,mixed,0.1232,,,0.0005,managed,0.0217,disconnected,not,integrated,standalone,0.094,integrated,0.094,disconnected,not,integrated,standalone,,,0.0014,broken,0.0669,integrated,disconnected,separated,fragmented,0.0869,mixed,0.1232,integrated,disconnected,separated,fragmented,,,0,women,0.0791,old,foe,children,girls,0,women,0.1014,old,foe,children,girls
113,alike,j-coordinated,121,intangible,tangible,0.5273,tangible,0.5273,physical,real,visible,concrete,0.3959,intangible,0.3959,physical,real,visible,concrete,1,1,0,1,,,0.3886,tangible,0.3886,0.4771,intangible,0.4771,,0.2952,intangible,0.3797,0.5622,intangible,0.5622,,,0.3886,tangible,0.3886,intangible,virtual,material,digital,0.4771,intangible,0.4771,intangible,virtual,material,digital,,,0.2952,intangible,0.3797,tangible,virtual,digital,material,0.5622,intangible,0.5622,tangible,virtual,digital,material,,,0,women,0.1056,old,children,foe,girls,0,women,0.0892,old,children,foe,girls
114,alike,j-coordinated,122,curved,straight,0.4372,straight,0.4372,flat,square,rigid,round,0.0002,gay,0.8964,flat,square,rigid,round,1,1,1,1,,,0.3041,straight,0.3041,0,gay,0.8555,,0.2012,straight,0.2012,0,gay,0.8874,,,0.3041,straight,0.3041,flat,square,round,blunt,0,gay,0.8555,flat,square,round,blunt,,,0.2012,straight,0.2012,flat,round,square,curved,0,gay,0.8874,flat,round,square,curved,,,0.0001,women,0.1518,men,girls,old,children,0,women,0.1426,men,girls,old,children
115,alike,j-coordinated,123,experienced,inexperienced,0.0824,novice,0.235,beginners,new,inexperienced,amateur,0.307,experienced,0.307,beginners,new,inexperienced,amateur,1,0,1,1,,,0.0906,new,0.1701,0.0245,inexperienced,0.3137,,0.1359,novice,0.182,0.3371,experienced,0.3371,,,0.0906,new,0.1701,novice,beginners,inexperienced,newcomers,0.0245,inexperienced,0.3137,novice,beginners,inexperienced,newcomers,,,0.1359,novice,0.182,inexperienced,new,beginners,newcomers,0.3371,experienced,0.3371,inexperienced,new,beginners,newcomers,,,0.0001,women,0.0827,old,foe,children,girls,0.0001,women,0.0862,old,foe,children,girls
116,alike,j-coordinated,124,normal,paranormal,0.003,abnormal,0.14,crazy,insane,freak,superhuman,0.0159,supernatural,0.0747,crazy,insane,freak,superhuman,1,1,1,1,,,0.0012,not,0.1541,0.0342,human,0.1099,,0.0026,crazy,0.112,0.032,real,0.0944,,,0.0012,not,0.1541,abnormal,freak,crazy,insane,0.0342,human,0.1099,abnormal,freak,crazy,insane,,,0.0026,crazy,0.112,insane,freak,abnormal,not,0.032,real,0.0944,insane,freak,abnormal,not,,,0,women,0.1285,old,foe,children,men,0,women,0.0783,old,foe,children,men
117,alike,j-coordinated,125,backward,forward,0.8501,forward,0.8501,forwards,advanced,modern,progressive,0.4937,backward,0.4937,forwards,advanced,modern,progressive,1,1,1,1,,,0.8017,forward,0.8017,0.4897,backward,0.4897,,0.8306,forward,0.8306,0.5688,backward,0.5688,,,0.8017,forward,0.8017,forwards,backward,backwards,sideways,0.4897,backward,0.4897,forwards,backward,backwards,sideways,,,0.8306,forward,0.8306,forwards,backward,backwards,back,0.5688,backward,0.5688,forwards,backward,backwards,back,,,0.0001,women,0.1112,old,foe,children,girls,0.0001,women,0.1189,old,foe,children,girls
118,alike,j-coordinated,126,foreign,native,0.0181,domestic,0.7106,local,locals,native,Chinese,0.035,immigrant,0.3732,local,locals,native,Chinese,1,1,1,1,,,0.0474,domestic,0.5466,0.0161,immigrant,0.2175,,0.0118,domestic,0.6311,0.0173,immigrant,0.3041,,,0.0474,domestic,0.5466,local,locals,native,Indian,0.0161,immigrant,0.2175,local,locals,native,Indian,,,0.0118,domestic,0.6311,local,locals,Indian,Chinese,0.0173,immigrant,0.3041,local,locals,Indian,Chinese,,,0.0002,women,0.0886,old,foe,children,girls,0.0005,women,0.0792,old,foe,children,girls
119,alike,j-coordinated,127,successful,unsuccessful,0.1962,unsuccessful,0.1962,failures,failed,poor,struggling,0.5477,successful,0.5477,failures,failed,poor,struggling,1,1,1,1,,,0.2102,unsuccessful,0.2102,0.2073,successful,0.2073,,0.239,unsuccessful,0.239,0.4292,successful,0.4292,,,0.2102,unsuccessful,0.2102,failed,failures,failure,struggling,0.2073,successful,0.2073,failed,failures,failure,struggling,,,0.239,unsuccessful,0.239,failed,failures,struggling,failing,0.4292,successful,0.4292,failed,failures,struggling,failing,,,0,women,0.0899,old,foe,children,girls,0,women,0.101,old,foe,children,girls
120,alike,j-coordinated,128,ethical,unethical,0.0064,moral,0.0704,financial,religious,political,legal,0.0272,legal,0.0733,financial,religious,political,legal,1,1,1,1,,,0.0484,moral,0.0529,0.0087,immoral,0.0363,,0.0046,moral,0.1291,0.0064,immoral,0.0475,,,0.0484,moral,0.0529,unethical,religious,immoral,illegal,0.0087,immoral,0.0363,unethical,religious,immoral,illegal,,,0.0046,moral,0.1291,religious,immoral,political,practical,0.0064,immoral,0.0475,religious,immoral,political,practical,,,0,women,0.079,old,foe,children,girls,0,women,0.0813,old,foe,children,girls
121,alike,j-coordinated,129,first,second,0.43,second,0.43,last,third,later,worst,0.0336,third,0.8924,last,third,later,worst,1,1,0,1,,,0.332,second,0.332,0.0057,third,0.5971,,0.2464,last,0.3025,0.0026,third,0.8648,,,0.332,second,0.332,last,third,most,worst,0.0057,third,0.5971,last,third,most,worst,,,0.2464,last,0.3025,second,most,third,worst,0.0026,third,0.8648,second,most,third,worst,,,0,women,0.1127,old,children,girls,men,0,women,0.1227,old,children,girls,men
122,alike,j-coordinated,130,central,peripheral,0.2305,peripheral,0.2305,provincial,regional,local,state,0.1056,core,0.276,provincial,regional,local,state,0,0,0,0,,,0.1176,periphery,0.1428,0.4972,central,0.4972,,0.0159,South,0.1123,0.2123,central,0.2123,,,0.1176,periphery,0.1428,peripheral,remote,regional,south,0.4972,central,0.4972,peripheral,remote,regional,south,,,0.0159,South,0.1123,south,southern,Southern,western,0.2123,central,0.2123,south,southern,Southern,western,,,0,women,0.0862,old,foe,children,girls,0,women,0.0645,old,foe,children,girls
123,alike,j-coordinated,131,anti,pro,0.9341,pro,0.9341,for,supporter,pros,yes,0.0009,con,0.9762,for,supporter,pros,yes,1,1,1,1,,,0.7711,pro,0.7711,0.0001,amateur,0.6555,,0.9169,pro,0.9169,0.0006,con,0.4147,,,0.7711,pro,0.7711,believers,anti,believer,pros,0.0001,amateur,0.6555,believers,anti,believer,pros,,,0.9169,pro,0.9169,Pro,for,anti,yes,0.0006,con,0.4147,Pro,for,anti,yes,,,0.0001,women,0.0738,old,foe,children,girls,0,women,0.0839,old,foe,children,girls
124,alike,j-coordinated,132,dangerous,safe,0.008,beautiful,0.0382,friendly,innocent,dangerous,useful,0.0821,dangerous,0.0821,friendly,innocent,dangerous,useful,1,0,1,0,,,0.0111,dangerous,0.0656,0.0546,secure,0.0844,,0.0105,beautiful,0.0697,0.0238,secure,0.1077,,,0.0111,dangerous,0.0656,innocent,harmless,helpful,beautiful,0.0546,secure,0.0844,innocent,harmless,helpful,beautiful,,,0.0105,beautiful,0.0697,dangerous,deadly,charming,useful,0.0238,secure,0.1077,dangerous,deadly,charming,useful,,,0,women,0.0925,old,foe,children,girls,0,women,0.109,old,foe,children,girls
125,alike,j-coordinated,133,bottom,top,0.9035,top,0.9035,middle,tops,head,sides,0.9676,bottom,0.9676,middle,tops,head,sides,1,1,1,1,,,0.5349,top,0.5349,0.8945,bottom,0.8945,,0.809,top,0.809,0.951,bottom,0.951,,,0.5349,top,0.5349,middle,bottom,center,not,0.8945,bottom,0.8945,middle,bottom,center,not,,,0.809,top,0.809,middle,bottom,head,tops,0.951,bottom,0.951,middle,bottom,head,tops,,,0.0001,women,0.0915,old,children,foe,girls,0.0001,women,0.0752,old,children,foe,girls
126,alike,j-coordinated,134,junior,senior,0.9116,senior,0.9116,seniors,sophomore,veteran,freshman,0.9039,junior,0.9039,seniors,sophomore,veteran,freshman,1,1,1,1,,,0.6532,senior,0.6532,0.4889,junior,0.4889,,0.8274,senior,0.8274,0.6372,junior,0.6372,,,0.6532,senior,0.6532,seniors,pro,veteran,freshman,0.4889,junior,0.4889,seniors,pro,veteran,freshman,,,0.8274,senior,0.8274,Senior,seniors,sophomore,freshman,0.6372,junior,0.6372,Senior,seniors,sophomore,freshman,,,0.0001,women,0.0799,old,children,foe,girls,0.0001,women,0.0724,old,children,foe,girls
127,alike,j-coordinated,135,regulated,unregulated,0.3913,unregulated,0.3913,not,free,private,regulated,0.4879,regulated,0.4879,not,free,private,regulated,1,1,1,1,,,0.571,unregulated,0.571,0.3833,regulated,0.3833,,0.7513,unregulated,0.7513,0.7957,regulated,0.7957,,,0.571,unregulated,0.571,not,regulated,private,illegal,0.3833,regulated,0.3833,not,regulated,private,illegal,,,0.7513,unregulated,0.7513,regulated,not,private,governed,0.7957,regulated,0.7957,regulated,not,private,governed,,,0,women,0.1436,men,children,girls,old,0,women,0.0917,men,children,girls,old
128,alike,j-coordinated,136,accurate,inaccurate,0.1539,inaccurate,0.1539,misleading,incorrect,accurate,unreliable,0.1272,accurate,0.1272,misleading,incorrect,accurate,unreliable,0,0,0,0,,,0.0418,accurate,0.0549,0.0057,misleading,0.227,,0.0183,accurate,0.0686,0.0148,misleading,0.1233,,,0.0418,accurate,0.0549,inaccurate,misleading,fair,not,0.0057,misleading,0.227,inaccurate,misleading,fair,not,,,0.0183,accurate,0.0686,fair,honest,reliable,inaccurate,0.0148,misleading,0.1233,fair,honest,reliable,inaccurate,,,0,women,0.1017,old,children,foe,girls,0,women,0.086,old,children,foe,girls
129,alike,j-coordinated,137,loud,soft,0.0209,quiet,0.1345,silent,small,gentle,soft,0.0004,hard,0.8187,silent,small,gentle,soft,1,1,1,1,,,0.0047,clear,0.1247,0,hard,0.8332,,0.0035,proud,0.1179,0.0004,hard,0.634,,,0.0047,clear,0.1247,proud,beautiful,quiet,silent,0,hard,0.8332,proud,beautiful,quiet,silent,,,0.0035,proud,0.1179,clear,beautiful,quiet,silent,0.0004,hard,0.634,clear,beautiful,quiet,silent,,,0.0001,women,0.1115,old,children,girls,foe,0,women,0.1162,old,children,girls,foe
130,alike,j-coordinated,138,lax,tense,0.0006,aggressive,0.0451,vigilant,rigid,strict,conservative,0.0018,tense,0.0498,vigilant,rigid,strict,conservative,1,1,1,1,,,0.0003,lax,0.0334,0.0036,present,0.0669,,0.0009,lazy,0.0913,0.0015,tense,0.0757,,,0.0003,lax,0.0334,lazy,aggressive,conservative,dangerous,0.0036,present,0.0669,lazy,aggressive,conservative,dangerous,,,0.0009,lazy,0.0913,weak,lax,stupid,lame,0.0015,tense,0.0757,weak,lax,stupid,lame,,,0,women,0.0744,old,foe,children,girls,0,women,0.1096,old,foe,children,girls
131,alike,j-coordinated,139,functional,organic,0.0002,aesthetic,0.3023,cosmetic,emotional,decorative,symbolic,0,conventional,0.7555,cosmetic,emotional,decorative,symbolic,1,1,1,1,,,0.0002,aesthetic,0.073,0.0001,conventional,0.4621,,0.0002,aesthetic,0.297,0.0001,conventional,0.4746,,,0.0002,aesthetic,0.073,decorative,functional,practical,symbolic,0.0001,conventional,0.4621,decorative,functional,practical,symbolic,,,0.0002,aesthetic,0.297,decorative,cosmetic,aesthetics,utilitarian,0.0001,conventional,0.4746,decorative,cosmetic,aesthetics,utilitarian,,,0,women,0.0984,old,foe,children,girls,0,women,0.09,old,foe,children,girls
132,alike,j-coordinated,140,joint,separate,0.0254,individual,0.0711,independent,private,single,separate,0,yet,0.4251,independent,private,single,separate,1,1,1,1,,,0.0003,body,0.0424,0.0001,bound,0.1237,,0.0199,individual,0.1787,0.0001,treated,0.1157,,,0.0003,body,0.0424,limb,individual,heart,mind,0.0001,bound,0.1237,limb,individual,heart,mind,,,0.0199,individual,0.1787,personal,single,separate,singular,0.0001,treated,0.1157,personal,single,separate,singular,,,0,women,0.0959,old,foe,children,girls,0,women,0.122,old,foe,children,girls
133,alike,j-coordinated,142,bound,free,0.1564,free,0.1564,bound,damned,freed,not,0.0001,paid,0.0646,bound,damned,freed,not,1,1,1,1,,,0.1299,free,0.1299,0.0001,paid,0.1175,,0.2842,free,0.2842,0.0004,paid,0.0503,,,0.1299,free,0.1299,bound,determined,damned,tempted,0.0001,paid,0.1175,bound,determined,damned,tempted,,,0.2842,free,0.2842,bound,freed,damned,not,0.0004,paid,0.0503,bound,freed,damned,not,,,0.0697,bound,0.0996,damned,free,women,tied,0,women,0.1374,damned,free,women,tied
